"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/20/2025 00:00",1381,1529,738,968,1157,2521,738,321,6169,587,1560,17669
"06/20/2025 01:00",1315,1452,688,922,1074,2342,695,294,5812,582,1506,16682
"06/20/2025 02:00",1259,1416,644,890,1010,2214,665,272,5534,573,1468,15945
"06/20/2025 03:00",1228,1399,612,873,961,2120,647,258,5324,568,1448,15438
"06/20/2025 04:00",1222,1411,598,874,938,2087,651,247,5226,568,1456,15278
"06/20/2025 05:00",1241,1444,593,897,933,2099,678,250,5307,573,1489,15504
"06/20/2025 06:00",1264,1520,626,933,941,2163,725,261,5673,587,1539,16232
"06/20/2025 07:00",1246,1575,676,956,931,2273,725,271,6127,594,1611,16985
"06/20/2025 08:00",1205,1596,697,954,909,2367,692,277,6485,594,1650,17426
"06/20/2025 09:00",1151,1555,719,945,878,2424,649,285,6688,593,1654,17541
"06/20/2025 10:00",1129,1533,732,938,867,2490,600,293,6806,590,1663,17641
"06/20/2025 11:00",1132,1472,750,927,903,2560,559,310,6914,587,1681,17795
"06/20/2025 12:00",1147,1460,774,946,961,2671,520,327,7051,588,1705,18150
"06/20/2025 13:00",1147,1451,804,997,1017,2856,510,345,7197,584,1748,18656
"06/20/2025 14:00",1158,1537,832,1045,1107,3060,520,360,7335,585,1792,19331
"06/20/2025 15:00",1234,1551,872,1088,1222,3288,543,381,7521,586,1834,20120
"06/20/2025 16:00",1328,1608,908,1126,1298,3515,593,398,7678,588,1869,20909
"06/20/2025 17:00",1432,1683,920,1156,1368,3659,654,404,7687,598,1895,21456
"06/20/2025 18:00",1502,1764,902,1207,1411,3660,739,407,7448,604,1904,21548
"06/20/2025 19:00",1537,1837,881,1231,1422,3529,830,393,7216,612,1892,21380
"06/20/2025 20:00",1517,1837,862,1224,1391,3364,876,380,7044,609,1864,20968
"06/20/2025 21:00",1475,1803,843,1209,1339,3222,866,366,6909,603,1838,20473
"06/20/2025 22:00",1376,1702,803,1140,1246,2999,813,341,6652,590,1762,19424
"06/20/2025 23:00",1276,1590,745,1059,1142,2737,750,312,6328,580,1672,18191
"06/21/2025 00:00",1224,1480,698,987,1043,2481,686,297,5996,576,1628,17096
"06/21/2025 01:00",1167,1419,657,941,971,2292,651,276,5718,569,1572,16233
"06/21/2025 02:00",1132,1384,621,911,922,2159,632,261,5501,564,1535,15622
"06/21/2025 03:00",1118,1357,593,892,898,2074,622,249,5357,558,1514,15232
"06/21/2025 04:00",1115,1351,576,884,880,2034,620,242,5269,558,1508,15037
"06/21/2025 05:00",1117,1360,573,884,871,2007,622,241,5249,561,1501,14986
"06/21/2025 06:00",1121,1350,587,874,877,2034,614,244,5356,563,1495,15115
"06/21/2025 07:00",1135,1341,622,861,892,2152,592,263,5604,569,1537,15568
"06/21/2025 08:00",1161,1333,672,878,915,2343,575,287,5913,576,1579,16232
"06/21/2025 09:00",1166,1343,712,910,937,2493,552,306,6208,577,1641,16845
"06/21/2025 10:00",1190,1366,752,968,985,2695,553,338,6479,579,1704,17609
"06/21/2025 11:00",1204,1409,787,1037,1045,2876,549,368,6673,584,1762,18294
"06/21/2025 12:00",1211,1458,822,1087,1118,3017,555,382,6812,588,1811,18861
