"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/30/2025 00:00","CAPITL",61757,44.86,1.54,0.00
"06/30/2025 00:00","CENTRL",61754,43.63,0.21,-0.09
"06/30/2025 00:00","DUNWOD",61760,46.70,3.38,0.00
"06/30/2025 00:00","GENESE",61753,43.13,-0.01,0.18
"06/30/2025 00:00","H Q",61844,43.18,-0.15,0.00
"06/30/2025 00:00","HUD VL",61758,46.08,2.76,0.00
"06/30/2025 00:00","LONGIL",61762,47.09,3.76,0.00
"06/30/2025 00:00","MHK VL",61756,45.08,1.76,0.00
"06/30/2025 00:00","MILLWD",61759,46.28,2.95,0.00
"06/30/2025 00:00","N.Y.C.",61761,47.11,3.79,0.00
"06/30/2025 00:00","NORTH",61755,43.71,0.39,0.00
"06/30/2025 00:00","NPX",61845,45.40,2.08,0.00
"06/30/2025 00:00","O H",61846,41.93,-0.98,0.41
"06/30/2025 00:00","PJM",61847,43.95,1.07,0.44
"06/30/2025 00:00","WEST",61752,42.67,-0.22,0.43
"06/30/2025 01:00","CAPITL",61757,46.35,1.52,0.00
"06/30/2025 01:00","CENTRL",61754,45.09,-0.02,-0.28
"06/30/2025 01:00","DUNWOD",61760,48.11,3.28,0.00
"06/30/2025 01:00","GENESE",61753,43.79,-0.49,0.56
"06/30/2025 01:00","H Q",61844,44.84,0.01,0.00
"06/30/2025 01:00","HUD VL",61758,47.49,2.66,0.00
"06/30/2025 01:00","LONGIL",61762,48.66,3.82,0.00
"06/30/2025 01:00","MHK VL",61756,46.54,1.71,0.00
"06/30/2025 01:00","MILLWD",61759,47.69,2.85,0.00
"06/30/2025 01:00","N.Y.C.",61761,48.48,3.65,0.00
"06/30/2025 01:00","NORTH",61755,45.36,0.53,0.00
"06/30/2025 01:00","NPX",61845,47.03,2.19,0.00
"06/30/2025 01:00","O H",61846,41.99,-1.57,1.27
"06/30/2025 01:00","PJM",61847,44.26,0.77,1.34
"06/30/2025 01:00","WEST",61752,42.68,-0.84,1.32
"06/30/2025 02:00","CAPITL",61757,43.52,1.66,0.00
"06/30/2025 02:00","CENTRL",61754,41.86,-0.02,-0.01
"06/30/2025 02:00","DUNWOD",61760,45.15,3.28,0.00
"06/30/2025 02:00","GENESE",61753,41.30,-0.55,0.02
"06/30/2025 02:00","H Q",61844,41.66,-0.20,0.00
"06/30/2025 02:00","HUD VL",61758,44.56,2.69,0.00
"06/30/2025 02:00","LONGIL",61762,45.51,3.64,0.00
"06/30/2025 02:00","MHK VL",61756,43.50,1.63,0.00
"06/30/2025 02:00","MILLWD",61759,44.76,2.89,0.00
"06/30/2025 02:00","N.Y.C.",61761,45.56,3.69,0.00
"06/30/2025 02:00","NORTH",61755,42.10,0.23,0.00
"06/30/2025 02:00","NPX",61845,44.32,2.46,0.00
"06/30/2025 02:00","O H",61846,40.23,-1.59,0.05
"06/30/2025 02:00","PJM",61847,42.63,0.81,0.05
"06/30/2025 02:00","WEST",61752,40.89,-0.93,0.05
"06/30/2025 03:00","CAPITL",61757,40.47,1.51,0.00
"06/30/2025 03:00","CENTRL",61754,38.96,0.00,0.00
"06/30/2025 03:00","DUNWOD",61760,41.96,3.01,0.00
"06/30/2025 03:00","GENESE",61753,38.45,-0.51,0.00
"06/30/2025 03:00","H Q",61844,38.74,-0.22,0.00
"06/30/2025 03:00","HUD VL",61758,41.44,2.48,0.00
"06/30/2025 03:00","LONGIL",61762,42.18,3.22,0.00
"06/30/2025 03:00","MHK VL",61756,40.45,1.49,0.00
"06/30/2025 03:00","MILLWD",61759,41.61,2.66,0.00
"06/30/2025 03:00","N.Y.C.",61761,42.35,3.39,0.00
"06/30/2025 03:00","NORTH",61755,39.04,0.08,0.00
"06/30/2025 03:00","NPX",61845,41.11,2.16,0.00
"06/30/2025 03:00","O H",61846,37.49,-1.47,0.00
"06/30/2025 03:00","PJM",61847,39.75,0.79,0.00
"06/30/2025 03:00","WEST",61752,38.08,-0.87,0.00
"06/30/2025 04:00","CAPITL",61757,39.06,1.45,0.00
"06/30/2025 04:00","CENTRL",61754,37.69,0.08,0.00
"06/30/2025 04:00","DUNWOD",61760,40.41,2.80,0.00
"06/30/2025 04:00","GENESE",61753,37.27,-0.33,0.00
"06/30/2025 04:00","H Q",61844,37.38,-0.22,0.00
"06/30/2025 04:00","HUD VL",61758,39.92,2.32,0.00
"06/30/2025 04:00","LONGIL",61762,40.53,2.93,0.00
"06/30/2025 04:00","MHK VL",61756,39.09,1.48,0.00
"06/30/2025 04:00","MILLWD",61759,40.08,2.48,0.00
"06/30/2025 04:00","N.Y.C.",61761,40.77,3.16,0.00
"06/30/2025 04:00","NORTH",61755,37.66,0.06,0.00
"06/30/2025 04:00","NPX",61845,39.59,1.99,0.00
"06/30/2025 04:00","O H",61846,36.40,-1.18,0.03
"06/30/2025 04:00","PJM",61847,38.45,0.85,0.00
"06/30/2025 04:00","WEST",61752,37.02,-0.58,0.00
"06/30/2025 05:00","CAPITL",61757,43.04,1.55,0.00
"06/30/2025 05:00","CENTRL",61754,41.44,-0.04,0.00
"06/30/2025 05:00","DUNWOD",61760,44.28,2.80,0.00
"06/30/2025 05:00","GENESE",61753,41.08,-0.40,0.00
"06/30/2025 05:00","H Q",61844,41.39,-0.10,0.00
"06/30/2025 05:00","HUD VL",61758,43.81,2.33,0.00
