BUS UID,Fuel,GEN UID,Plant Code,Unit Type,CO2 Emissions Lbs/MWh
111218_1,NUC (Nuclear),6251_Nuclear_2,6251,Nuclear,0.0
111217_1,NUC (Nuclear),6251_Nuclear_1,6251,Nuclear,0.0
150441_1,NUC (Nuclear),6145_Nuclear_1,6145,Nuclear,0.0
150442_1,NUC (Nuclear),6145_Nuclear_2,6145,Nuclear,0.0
210334_1,SUB (Subbituminous Coal),56611_ConventionalSteamCoal_S01,56611,Conventional Steam Coal,2031.7766274674600
230259_1,SUB (Subbituminous Coal),298_ConventionalSteamCoal_2,298,Conventional Steam Coal,2308.752773115980
230272_1,LIG (Lignite Coal),6180_ConventionalSteamCoal_OG2,6180,Conventional Steam Coal,2169.1571494636200
230271_1,LIG (Lignite Coal),6180_ConventionalSteamCoal_OG1,6180,Conventional Steam Coal,2169.1571494636200
230260_1,SUB (Subbituminous Coal),298_ConventionalSteamCoal_1,298,Conventional Steam Coal,2308.752773115980
250359_1,LIG (Lignite Coal),6146_ConventionalSteamCoal_2,6146,Conventional Steam Coal,2449.1776278020200
250360_1,LIG (Lignite Coal),6146_ConventionalSteamCoal_3,6146,Conventional Steam Coal,2449.1776278020200
250358_1,LIG (Lignite Coal),6146_ConventionalSteamCoal_1,6146,Conventional Steam Coal,2449.1776278020200
120469_1,SUB (Subbituminous Coal),7097_ConventionalSteamCoal_2,7097,Conventional Steam Coal,2160.2794702603700
111180_1,NG (Natural Gas),3460_NaturalGasSteamTurbine_1,3460,Natural Gas Steam Turbine,1318.4886054991800
111181_1,NG (Natural Gas),3460_NaturalGasSteamTurbine_2,3460,Natural Gas Steam Turbine,1318.4886054991800
111208_1,SUB (Subbituminous Coal),3470_ConventionalSteamCoal_5,3470,Conventional Steam Coal,2288.2066166956400
111209_1,SUB (Subbituminous Coal),3470_ConventionalSteamCoal_6,3470,Conventional Steam Coal,2288.2066166956400
160210_1,SUB (Subbituminous Coal),6178_ConventionalSteamCoal_1,6178,Conventional Steam Coal,2203.1307856194300
230264_1,SUB (Subbituminous Coal),6179_ConventionalSteamCoal_1,6179,Conventional Steam Coal,2240.576410030400
230265_1,SUB (Subbituminous Coal),6179_ConventionalSteamCoal_2,6179,Conventional Steam Coal,2240.576410030400
120470_1,SUB (Subbituminous Coal),7097_ConventionalSteamCoal_1,7097,Conventional Steam Coal,2160.2794702603700
111212_2,NG (Natural Gas),3470_NaturalGasSteamTurbine_4,3470,Natural Gas Steam Turbine,1262.4217877233500
130351_1,NG (Natural Gas),3453_NaturalGasSteamTurbine_8,3453,Natural Gas Steam Turbine,1484.3167782942300
170518_1,NG (Natural Gas),3452_NaturalGasSteamTurbine_2,3452,Natural Gas Steam Turbine,1415.072842920540
111390_1,NG (Natural Gas),60122_NaturalGasFiredCombinedCycle_STG9,60122,Natural Gas Fired Combined Cycle,800.2011277886590
250347_1,NG (Natural Gas),3504_NaturalGasSteamTurbine_ST2,3504,Natural Gas Steam Turbine,1519.388611035810
150431_1,NG (Natural Gas),3491_NaturalGasSteamTurbine_4,3491,Natural Gas Steam Turbine,1591.776478853510
120463_1,SUB (Subbituminous Coal),6181_ConventionalSteamCoal_1,6181,Conventional Steam Coal,2338.085512618570
120439_1,NG (Natural Gas),3611_NaturalGasSteamTurbine_2,3611,Natural Gas Steam Turbine,1392.422590260230
